rule_id,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R011,Suede shoes are appropriate for dry autumn and spring conditions but suffer in heavy rain and snow so classic conventions restrict them to milder weather.,bottoms,shoes,seasonal_layering,"classic, refined, smart casual","brown, tan, neutral","smart casual, daytime","spring, autumn",general,not specified,smart casual,"suede, autumn, spring, weather, care",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference book.","Flusser advises suede footwear for dry transitional seasons and cautions against wet-weather wear.","Applies to leather-alternative suede footwear in dry conditions.","Not appropriate for rain, snow, or salted urban winters without protective treatment.",verified,"Use for seasonal filtering when suede footwear appears in candidates."
R012,Black-tie evening dress codes traditionally require a patent-leather oxford or opera pump for menswear and a formal heeled shoe for womenswear.,dresses;tops;bottoms,shoes,formal_evening_styling,"formal, elegant, classic","black, patent","evening, wedding, formal",all season,general,tailored,evening,"black tie, patent leather, opera pump, oxford, formal",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Menswear reference book documenting classic black-tie conventions.","Flusser codifies patent oxfords and opera pumps as the shoes of the black-tie dress code.","Applies to strict black-tie dress code events.","Not appropriate for creative black-tie or relaxed evening codes; womenswear rule inferred rather than fully codified in this source.",verified,"Use with high confidence when the occasion is explicitly black-tie."
R013,With athleisure or sport-inspired outfits an athletic sneaker with a technical sole is more consistent than a formal shoe.,tops;bottoms,shoes,style_consistency,"casual, streetwear, relaxed","white, black, neutral, bold colour","casual, daytime","all season",unisex,relaxed fit,casual,"athletic sneaker, athleisure, sport, casual",fashion_magazine,GQ,Conde Nast,2022,"gq.com (specific article to be verified)",medium,"Established menswear editorial publication.","GQ style features recommend athletic sneakers as the appropriate anchor for athleisure and sport-inspired outfits.","Applies to casual sport-influenced outfits.","Not appropriate for workwear or formal contexts.",needs_manual_check,"Verify specific GQ article URL."
R014,Ballet flats provide a low profile shoe that pairs cleanly with cropped or ankle-length trousers by allowing the ankle to remain visible.,bottoms,shoes,proportion_balance,"classic, minimal, relaxed","black, nude, tonal","daytime, casual, smart casual","spring, summer",womenswear,proportions,smart casual,"ballet flat, cropped trouser, ankle, proportion",fashion_editorial,Style Journal,Mr Porter (womenswear coverage),2023,"editorial reference; specific article URL to be verified",medium,"Established retailer editorial with womenswear coverage.","Editorial features consistently pair ballet flats with cropped trousers as a proportion-preserving choice.","Applies to womenswear casual and smart-casual dressing.","Ballet flats offer minimal support and may be unsuitable for long standing wear.",needs_manual_check,"Verify a canonical editorial reference."
R015,A Chelsea boot in dark leather is a smart-casual staple that pairs equally with denim chinos and unstructured tailoring in menswear.,bottoms,shoes,smart_casual_styling,"smart casual, classic, refined","brown, black, tonal","smart casual, casual, daytime","autumn, winter, spring",menswear,tailored,smart casual,"chelsea boot, smart casual, dark leather, jeans, chinos",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Book by a menswear historian traces the Chelsea boot's role in modern tailoring.","Boyer positions the Chelsea boot as a versatile smart-casual boot bridging tailoring and denim wear.","Applies to smart-casual and casual menswear dressing.","Not appropriate for strict business-formal or black-tie contexts.",verified,"Anchor rule for smart-casual boot recommendations in cooler seasons."
R016,Chunky lug-sole boots create visual weight at the ankle which helps balance slim-fitting trousers and dresses that would otherwise appear top-light or leg-heavy.,dresses;bottoms,shoes,proportion_balance,"edgy, structured, contrast","black, brown, dark","casual, daytime","autumn, winter",unisex,proportions,casual,"lug sole, chunky boot, slim trouser, proportion, balance",fashion_magazine,Vogue,Conde Nast,2021,"vogue.com (specific article to be verified)",medium,"Major fashion publication with editorial oversight of trend analysis.","Vogue trend coverage discusses lug-sole boots as a proportion-balancing counterweight to slim silhouettes.","Applies to slim-cut trousers slip dresses and similar lean silhouettes.","May overwhelm very delicate silhouettes or formal contexts.",needs_manual_check,"Verify article; useful for proportion-based rerankers."
R017,Espadrilles carry strong summer and Mediterranean-casual associations making them appropriate for warm-weather casual wear but not for formal or cool-season occasions.,dresses;tops;bottoms,shoes,seasonal_layering,"casual, relaxed, classic","neutral, natural, beige","casual, summer, daytime",summer,unisex,relaxed fit,casual,"espadrille, summer, casual, warm weather",book,How to Read a Dress,Lydia Edwards,2017,"Bloomsbury Academic, London, 2017",high,"Book by a fashion historian published by a respected academic press.","Edwards places espadrilles in the summer casual tradition with clear seasonal and regional associations.","Applies to warm-weather casual dressing.","Not appropriate for formal cool-season or wet-weather occasions.",verified,"Use with strong seasonal filtering."
R018,Metallic shoes work best when treated as a single accent piece with the rest of the outfit in neutral tones so the shoe reads as an intentional highlight.,dresses;tops;bottoms,shoes,colour_coordination,"elegant, refined, contrast","metallic, silver, gold, neutral","evening, party, wedding","all season",womenswear,not specified,evening,"metallic shoe, accent, neutral base, evening",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Book by a former Elle fashion director; editorial in tone.","Garcia advises using metallic footwear as a single focal point with a neutral outfit base.","Applies to evening and party contexts where metallic accents suit the occasion.","May clash if combined with other metallic garments or heavy prints.",verified,"Support single-accent explanation logic."
R019,Overall shoe formality should track the formality of the surrounding garments so a formal suit is matched with a formal shoe and a casual outfit with a casual shoe.,tops;bottoms;dresses;outerwear,shoes,formality_matching,"classic, refined, polished","neutral, tonal","work, formal, casual, smart casual","all season",general,not specified,general,"shoe formality, matching, hierarchy, suit, casual",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference book.","Flusser articulates a formality hierarchy in which shoe choice tracks the formality of the outfit.","Applies broadly to menswear and by extension to general dressing.","Not appropriate where deliberate high-low mixing is the intended aesthetic.",verified,"Primary hierarchy rule for formality-consistency reranking."
R020,White leather sneakers pair well with cropped or ankle-length denim because the exposed ankle emphasises the clean line of the shoe.,bottoms,shoes,proportion_balance,"smart casual, minimal, relaxed","white, blue denim","smart casual, casual","spring, summer, autumn",unisex,proportions,smart casual,"white sneaker, cropped denim, ankle, minimal",fashion_editorial,Style Journal,Mr Porter,2023,"mrporter.com/en-gb/journal (specific article to be verified)",medium,"Established retailer editorial.","Mr Porter journal features pair minimal white sneakers with cropped or ankle-length denim as a proportion strategy.","Applies to smart-casual denim outfits.","May look incomplete with very long or wide-leg denim where the ankle is not exposed.",needs_manual_check,"Verify specific journal URL."
R021,Traditional American style rules discouraged wearing white shoes outside of the Memorial Day to Labour Day window although modern editorial practice treats this as a soft convention rather than a strict prohibition.,dresses;tops;bottoms,shoes,seasonal_layering,"classic, relaxed","white, neutral","summer, daytime",summer,general,not specified,smart casual,"white shoes, summer, seasonal convention, history",museum_or_institution,The Fashion Institute of Technology archive materials,Fashion Institute of Technology (FIT),2020,"FIT Museum publications and archive resources (specific citation to be finalised)",medium,"Institutional archive with fashion history authority; specific publication citation should be confirmed.","FIT and other fashion history references document the traditional American convention limiting white shoes to the summer season.","Applies to traditional American style contexts.","Modern editorial practice widely relaxes this rule; treat as soft rather than strict.",needs_manual_check,"Consider softening this rule for modern global applications."
R022,A double monk-strap shoe sits between the loafer and the oxford in formality and provides an elevated smart-casual option with a visible decorative element.,bottoms,shoes,smart_casual_styling,"smart casual, refined, tailored","brown, black, tonal","work, smart casual","all season",menswear,tailored,smart casual,"monk strap, double monk, smart casual, decorative",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference by a historian and editor.","Boyer situates the monk-strap between loafer and oxford in the formality hierarchy.","Applies to menswear smart-casual and softer business contexts.","Not appropriate for strict formal or black-tie dress codes.",verified,"Useful for menswear shoe candidates in the smart-casual band."
R023,A closed pointed or almond-toe court shoe is a workwear staple that reads as more formal than a flat and less formal than an evening heel.,dresses;bottoms,shoes,workwear_styling,"polished, tailored, classic","black, nude, tonal","work, daytime, smart casual","all season",womenswear,tailored,business casual,"court shoe, pump, workwear, closed toe",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book by a former Elle fashion director.","Garcia identifies the court shoe as a workwear staple with mid-level formality.","Applies to standard business-casual and workwear womenswear.","Not appropriate for very casual outfits or informal occasions.",verified,"Anchor rule for female workwear shoe recommendations."
R024,In autumn and winter a knee-high or riding boot pairs cleanly with midi dresses and skirts because the boot shaft and hem meet with minimal exposed leg.,dresses,shoes,seasonal_layering,"classic, refined, polished","brown, black, tonal","daytime, smart casual, casual","autumn, winter",womenswear,proportions,smart casual,"knee high boot, riding boot, midi dress, autumn, winter",fashion_magazine,Harper's Bazaar,Hearst Communications,2021,"harpersbazaar.com (specific article to be verified)",medium,"Established fashion publication.","Harper's Bazaar autumn features recommend knee-high boots with midi hemlines for cold-weather proportion.","Applies to cool-season midi dress styling.","Not appropriate for warm-weather or short-hem contexts.",needs_manual_check,"Verify specific article URL."
R025,A wedge sandal offers height with a stable base making it an easy summer shoe for casual dresses and skirts on uneven ground.,dresses,shoes,casual_daytime_styling,"casual, relaxed, classic","neutral, tan, natural","summer, daytime, casual",summer,womenswear,not specified,casual,"wedge sandal, summer, casual dress, stable",fashion_magazine,Vogue,Conde Nast,2022,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue summer features describe wedge sandals as stable warm-weather footwear for casual dressing.","Applies to warm-weather casual daytime outfits.","Not appropriate for formal or business contexts.",needs_manual_check,"Verify specific Vogue article URL."
R026,In classic dressing a belt is matched to the shoe both in leather colour and in leather finish so the two form a coordinated frame around the outfit.,bottoms,accessories,accessory_coordination,"classic, polished, tailored","brown, black, tonal","work, smart casual, formal","all season",general,tailored,business casual,"belt, shoe, leather, matching, finish",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Menswear reference book widely cited on classic accessory coordination.","Flusser articulates the belt-and-shoe leather match as a foundational rule of classic dressing.","Applies to classic tailored dressing with visible belt and leather shoes.","Not applicable when no belt is worn or when contrast is deliberately used as a design accent.",verified,"Foundational accessory-coordination rule."
R027,Metal accents on a belt buckle should match the metal of the watch case and other visible metal accessories so the metals read as a unified palette.,tops;bottoms,accessories,accessory_coordination,"classic, refined, polished","silver, gold, metallic","work, smart casual, formal","all season",general,not specified,business casual,"belt buckle, watch, metal, silver, gold, matching",book,Gentleman: A Timeless Guide to Fashion,Bernhard Roetzel,2020,"H.F.Ullmann Publishing, updated editions since 1999",high,"Reference book on classic menswear covering coordination of metallic accessories.","Roetzel advises matching metal finishes across belt buckle watch and other visible metallic accessories.","Applies to classic tailored and smart-casual dressing.","Modern fashion increasingly mixes metals; treat as a classic default rather than absolute.",verified,"Coordination rule useful in metallic-accent explanations."
R028,The width of a necktie should approximate the width of the jacket lapel so the two elements read as visually proportional.,tops,accessories,proportion_balance,"classic, tailored, refined","neutral, tonal","work, formal, smart casual","all season",menswear,tailored,formal,"tie width, lapel width, proportion, jacket",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference book.","Flusser codifies the tie-to-lapel width matching principle as a rule of classic tailoring.","Applies to tailored menswear with a lapelled jacket and necktie.","Not applicable to bow ties casual knits or non-tailored outfits.",verified,"Useful for tailored menswear accessory recommendations."
R029,Silk woven ties read as more formal while knitted or wool ties read as more casual so tie fabric should be chosen to match the overall formality of the outfit.,tops,accessories,formality_matching,"classic, tailored, refined","tonal, neutral","work, formal, smart casual","all season",menswear,tailored,business casual,"tie, silk, wool, knit, formality, texture",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Menswear reference book.","Flusser distinguishes tie fabrics by formality with silk at the formal end and knitted or wool at the casual end.","Applies to tailored menswear at various formality levels.","Not applicable to non-tie outfits or novelty ties.",verified,"Useful for fabric-based tie recommendations."
R030,A pocket square coordinates with the outfit but is not required to match the tie exactly; picking up a secondary colour or contrasting texture is a more considered choice.,tops,accessories,style_consistency,"classic, refined, tailored","tonal, contrast","work, formal, smart casual","all season",menswear,tailored,business casual,"pocket square, tie, coordination, contrast",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference by a historian and editor.","Boyer advises coordinating rather than matching the pocket square and tie for a more considered look.","Applies to tailored menswear with a jacket breast pocket.","Not applicable without a lapelled jacket or when a monotone effect is deliberately intended.",verified,"Useful nuance rule for menswear accessory pairing."
R031,Watch formality should match outfit formality so a dress watch on leather suits a suit while a diver or field watch suits a casual outfit.,tops;bottoms,accessories,formality_matching,"classic, refined, tailored","neutral, silver, tonal","work, formal, casual","all season",unisex,not specified,general,"watch, dress watch, sport watch, formality, matching",book,Gentleman: A Timeless Guide to Fashion,Bernhard Roetzel,2020,"H.F.Ullmann Publishing, updated editions since 1999",high,"Reference book on classic menswear including watch conventions.","Roetzel matches watch types to dress code with dress watches reserved for tailored dress.","Applies to classic tailored and casual dressing.","Modern styling frequently mixes watches with dress codes; treat as a classic default.",verified,"Anchor rule for watch-outfit coordination."
R032,A statement necklace works best over a plain unadorned neckline so the neckline serves as a clean background for the accessory.,tops;dresses,accessories,accessory_coordination,"elegant, refined, contrast","tonal, contrast, metallic","evening, party, work","all season",womenswear,not specified,smart casual,"statement necklace, plain neckline, contrast, jewellery",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book by a former Elle fashion director.","Garcia advises pairing statement necklaces with plain necklines to keep the focal accessory clear.","Applies to womenswear jewellery styling.","Not applicable with detailed or embellished necklines that already carry the focal detail.",verified,"Support for necklace and neckline coordination logic."
R033,Adding fewer strong accessories rather than more is a widely repeated editorial principle so consider removing one accessory before leaving the house.,tops;bottoms;dresses,accessories,style_consistency,"minimal, refined, classic","tonal, neutral","work, smart casual, evening, formal","all season",general,not specified,general,"accessory restraint, minimal, editing, one less",book,"The Little Black Book of Style",Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book that echoes a widely repeated principle often attributed to Coco Chanel.","Garcia and other editorial sources restate the accessory-restraint principle sometimes credited to Chanel.","Applies as a general finishing principle.","May be overridden by intentionally maximalist styles.",needs_manual_check,"Attribution to Chanel is popular but not always verifiable in primary sources; retain restraint principle."
R034,Bag size and structure should be proportional to the wearer's frame so smaller bags suit smaller frames and larger bags suit taller or larger frames.,tops;bottoms;dresses,accessories,proportion_balance,"classic, refined","neutral, tonal","work, casual, smart casual","all season",womenswear,proportions,general,"bag proportion, frame, scale, size",book,Tim Gunn's Fashion Bible,Tim Gunn,2012,"Gallery Books, New York, 2012",medium,"Editorial book by an industry educator.","Gunn discusses bag scale in relation to the wearer's frame as a proportion consideration.","Applies to womenswear bag selection.","Individual preference and function may override strict proportion rules.",verified,"Useful proportion-based accessory reranker rule."
R035,A structured leather bag reads as more formal while a slouchy soft-sided bag reads as more casual so the bag structure should track the formality of the outfit.,tops;bottoms;dresses,accessories,formality_matching,"classic, refined","neutral, tonal","work, formal, casual","all season",womenswear,not specified,general,"bag structure, structured, slouchy, formality",fashion_editorial,Style Journal,Mr Porter (womenswear),2023,"editorial reference; specific article to be verified",medium,"Established retailer editorial.","Editorial features consistently associate structured leather bags with formal outfits and slouchy bags with casual ones.","Applies to womenswear bag selection.","Some designer bags deliberately mix structure and casual finish.",needs_manual_check,"Verify a canonical editorial article."
R036,A scarf can introduce an accent colour that echoes another element in the outfit such as a bag lining or a shoe so the accessory palette feels coordinated.,tops;outerwear,accessories,colour_coordination,"classic, refined","tonal, contrast","work, smart casual, casual","autumn, winter, spring",unisex,not specified,smart casual,"scarf, accent colour, coordination, palette",book,Gentleman: A Timeless Guide to Fashion,Bernhard Roetzel,2020,"H.F.Ullmann Publishing, updated editions since 1999",high,"Reference book on classic dressing including accessory coordination.","Roetzel discusses scarves as an accent-colour opportunity in a coordinated palette.","Applies to cooler-season smart-casual dressing.","May clash if the accent colour is not echoed elsewhere.",verified,"Useful for colour-coordination retrieval."
R037,A silk scarf tied at the neck adds a polished finishing element to a plain shirt or blouse and reads as more formal than a wool wrap scarf.,tops,accessories,formal_evening_styling,"elegant, refined, polished","tonal, contrast","work, formal, smart casual","spring, summer, autumn",womenswear,not specified,business casual,"silk scarf, neck, polished, formal, blouse",fashion_editorial,Style Journal,Hermes editorial materials,2020,"hermes.com editorial (specific article to be verified)",medium,"Established luxury brand with a long editorial tradition around silk scarves.","Hermes editorial materials situate the silk neck scarf as a formal polishing element.","Applies to womenswear polished daytime and evening dressing.","Not appropriate for very casual or athletic outfits.",needs_manual_check,"Verify specific editorial page; treat as brand style guide."
R038,Sunglass frame shape should soften the wearer's face shape so angular frames pair with rounder faces and rounder frames pair with more angular faces.,tops;outerwear,accessories,style_consistency,"classic, refined","neutral, tonal","casual, daytime, summer","spring, summer",general,not specified,general,"sunglasses, frame shape, face shape, angular, round",fashion_magazine,Vogue,Conde Nast,2021,"vogue.com (specific article to be verified)",medium,"Major fashion publication with editorial coverage of eyewear.","Vogue eyewear features consistently discuss frame-to-face contrast as a shape principle.","Applies to eyewear selection in general dressing.","Personal style and prescription requirements may override.",needs_manual_check,"Verify specific article URL."
R039,Hat formality should track outfit formality so a felt fedora suits tailored wool coats while a woven straw hat suits summer casual outfits.,tops;outerwear,accessories,formality_matching,"classic, refined","neutral, tonal","work, casual, smart casual","all season",general,not specified,general,"hat, fedora, straw, formality, matching",museum_or_institution,Hats: An Anthology,"Stephen Jones (curator), Victoria and Albert Museum",2009,"V&A Museum exhibition catalogue, London, 2009",high,"Museum-published exhibition catalogue with institutional and expert authorship.","The V&A catalogue documents historical and stylistic conventions of hat-to-outfit matching.","Applies to hat selection in traditional dressing.","Modern styling frequently mixes hat categories for effect.",verified,"Institutional source; strong for auditability."
R040,A neutral leather handbag in a mid-brown black or beige tone is versatile across many outfits and offers a low-risk baseline recommendation.,tops;bottoms;dresses,accessories,style_consistency,"classic, minimal, refined","neutral, black, brown, beige","work, smart casual, casual","all season",womenswear,not specified,general,"neutral bag, versatile, brown, black, beige",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book by a former Elle fashion director.","Garcia lists neutral leather bags as versatile wardrobe staples.","Applies to womenswear wardrobe building.","May feel understated for evening or statement contexts.",verified,"Baseline safe recommendation for bag ambiguity."
R041,Fine-gauge jewellery worn in layered combinations reads as delicate while heavier chains or cuffs read as bolder so pieces should be layered with consistent visual weight.,tops;dresses,accessories,style_consistency,"minimal, refined, layered","gold, silver, metallic","daytime, evening, smart casual","all season",womenswear,not specified,smart casual,"layered jewellery, delicate, fine gauge, chain",fashion_magazine,Harper's Bazaar,Hearst Communications,2020,"harpersbazaar.com (specific article to be verified)",medium,"Established fashion publication.","Bazaar jewellery features advise layering pieces with consistent scale for a coherent look.","Applies to womenswear delicate jewellery styling.","May not suit statement single-piece styling.",needs_manual_check,"Verify specific article URL."
R042,Jewellery metal choice can be selected to complement skin undertone with warmer golds often flattering warm undertones and cooler silvers often flattering cool undertones as a general starting point.,tops;dresses,accessories,colour_coordination,"classic, refined","gold, silver, metallic, tonal","work, evening, smart casual","all season",general,not specified,general,"jewellery, metal, gold, silver, undertone",book,Color Me Beautiful,Carole Jackson,1980,"Ballantine Books, New York, 1980",medium,"Widely known popular book on colour analysis; foundational but somewhat dated and disputed in academic colour theory.","Jackson articulates the metal-to-undertone matching principle as a starting point in personal colour analysis.","Applies to general jewellery-and-skin-undertone coordination.","Modern colour analysis frequently mixes metals; treat as a soft starting point not a rule.",verified,"Flag as heritage rule; useful as a starting suggestion not a hard filter."
R043,Formal daytime menswear conventionally limits visible jewellery to a wedding band a dress watch and cufflinks so any additional pieces read as informal.,tops;bottoms,accessories,formal_evening_styling,"classic, refined, formal","silver, gold, tonal","work, formal","all season",menswear,tailored,formal,"wedding band, dress watch, cufflinks, formal menswear",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference.","Flusser limits formal menswear jewellery to a wedding band dress watch and cufflinks.","Applies to strict formal menswear.","Not appropriate for creative or fashion-forward menswear where additional jewellery is intentional.",verified,"Strong evidence for menswear formal accessory constraints."
