case_id,generator,trace_size,used,available,utilization
case-0e17dc89bc904c04,gemma4:12b,2,2,2,1.0
case-0e17dc89bc904c04,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-0e17dc89bc904c04,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-0e610afd8b819497,gemma4:12b,1,1,1,1.0
case-0e610afd8b819497,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0e610afd8b819497,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0e9883918b0ca714,gemma4:12b,1,1,1,1.0
case-0e9883918b0ca714,llama3.1:8b-instruct-q8_0,1,0,1,0.0
case-0e9883918b0ca714,ministral-3:14b-instruct-2512-q4_K_M,1,0,1,0.0
case-0e9bfb5fc191165c,gemma4:12b,1,1,1,1.0
case-0e9bfb5fc191165c,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0e9bfb5fc191165c,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-0f2bb5ee60bc7a9a,gemma4:12b,2,2,2,1.0
case-0f2bb5ee60bc7a9a,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-0f2bb5ee60bc7a9a,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-0fe1a953b53776f6,gemma4:12b,1,1,1,1.0
case-0fe1a953b53776f6,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-0fe1a953b53776f6,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1162e8ed0ed6ad00,gemma4:12b,1,1,1,1.0
case-1162e8ed0ed6ad00,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1162e8ed0ed6ad00,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1204bb6d3c3013b9,gemma4:12b,1,1,1,1.0
case-1204bb6d3c3013b9,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1204bb6d3c3013b9,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-14b7352b2d12f819,gemma4:12b,2,1,2,0.5
case-14b7352b2d12f819,llama3.1:8b-instruct-q8_0,2,0,2,0.0
case-14b7352b2d12f819,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-1596dad08da027d1,gemma4:12b,1,1,1,1.0
case-1596dad08da027d1,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1596dad08da027d1,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-162553774c68df41,gemma4:12b,2,0,2,0.0
case-162553774c68df41,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-162553774c68df41,ministral-3:14b-instruct-2512-q4_K_M,2,0,2,0.0
case-16512ea253d9f43a,gemma4:12b,1,1,1,1.0
case-16512ea253d9f43a,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-18513b7046cb77c0,gemma4:12b,1,1,1,1.0
case-18513b7046cb77c0,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-18513b7046cb77c0,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-18a4a12f6193ad55,gemma4:12b,1,1,1,1.0
case-18a4a12f6193ad55,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-18a4a12f6193ad55,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-191d6722602fff74,gemma4:12b,2,2,2,1.0
case-191d6722602fff74,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-191d6722602fff74,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-19c36cc537975dc4,gemma4:12b,2,2,2,1.0
case-19c36cc537975dc4,llama3.1:8b-instruct-q8_0,2,0,2,0.0
case-19c36cc537975dc4,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-1a1a490478a526ea,gemma4:12b,1,1,1,1.0
case-1a1a490478a526ea,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1a1a490478a526ea,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1b29b19b84746cc8,gemma4:12b,1,1,1,1.0
case-1b29b19b84746cc8,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1b29b19b84746cc8,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1b8ed66ff7024531,gemma4:12b,1,1,1,1.0
case-1b8ed66ff7024531,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1b8ed66ff7024531,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1beb353b17306966,gemma4:12b,2,2,2,1.0
case-1beb353b17306966,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-1beb353b17306966,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-1becd8554ecaa063,gemma4:12b,4,1,4,0.25
case-1becd8554ecaa063,llama3.1:8b-instruct-q8_0,4,2,4,0.5
case-1becd8554ecaa063,ministral-3:14b-instruct-2512-q4_K_M,4,2,4,0.5
case-1c7225eeebc390f4,gemma4:12b,1,1,1,1.0
case-1c7225eeebc390f4,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1c7225eeebc390f4,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1d2737e23ac6b3f0,gemma4:12b,1,1,1,1.0
case-1d2737e23ac6b3f0,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1d2737e23ac6b3f0,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1de749080832764d,gemma4:12b,1,1,1,1.0
case-1de749080832764d,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1de749080832764d,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1ed5d8c62d220374,gemma4:12b,3,1,3,0.3333333333333333
case-1ed5d8c62d220374,llama3.1:8b-instruct-q8_0,3,1,3,0.3333333333333333
case-1ed5d8c62d220374,ministral-3:14b-instruct-2512-q4_K_M,3,2,3,0.6666666666666666
case-1ef79624a6769a14,gemma4:12b,2,2,2,1.0
case-1ef79624a6769a14,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-1ef79624a6769a14,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-1f298f36a61f0496,gemma4:12b,2,1,2,0.5
case-1f298f36a61f0496,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-1f298f36a61f0496,ministral-3:14b-instruct-2512-q4_K_M,2,1,2,0.5
case-1f56a1ea393cad23,gemma4:12b,1,1,1,1.0
case-1f56a1ea393cad23,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1f56a1ea393cad23,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1f6de73980748067,gemma4:12b,1,1,1,1.0
case-1f6de73980748067,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1f6de73980748067,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-1f9625ec5b3bce19,gemma4:12b,1,1,1,1.0
case-1f9625ec5b3bce19,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-1f9625ec5b3bce19,ministral-3:14b-instruct-2512-q4_K_M,1,0,1,0.0
case-205c6772cb8f24a3,gemma4:12b,2,2,2,1.0
case-205c6772cb8f24a3,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-205c6772cb8f24a3,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-20aa298949b7b429,gemma4:12b,1,1,1,1.0
case-20aa298949b7b429,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-20aa298949b7b429,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-20c0daf9959bcee2,gemma4:12b,1,1,1,1.0
case-20c0daf9959bcee2,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-20c0daf9959bcee2,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2115255a06f4a35a,gemma4:12b,2,2,2,1.0
case-2115255a06f4a35a,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-2115255a06f4a35a,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-214f2477049c7c43,gemma4:12b,1,1,1,1.0
case-214f2477049c7c43,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-214f2477049c7c43,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-216ac70eeaf32dc9,gemma4:12b,1,1,1,1.0
case-216ac70eeaf32dc9,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-216ac70eeaf32dc9,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-21a63fff9a220bba,gemma4:12b,1,1,1,1.0
case-21a63fff9a220bba,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-21a63fff9a220bba,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-21c592c32bd06035,gemma4:12b,1,1,1,1.0
case-21c592c32bd06035,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-21c592c32bd06035,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-220dd48019439129,gemma4:12b,1,1,1,1.0
case-220dd48019439129,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-220dd48019439129,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-23100c6fb3b44e88,gemma4:12b,1,1,1,1.0
case-23100c6fb3b44e88,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-23100c6fb3b44e88,ministral-3:14b-instruct-2512-q4_K_M,1,0,1,0.0
case-2329e43c1f95d833,gemma4:12b,1,1,1,1.0
case-2329e43c1f95d833,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2329e43c1f95d833,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2356b1c6550fda79,gemma4:12b,1,1,1,1.0
case-2356b1c6550fda79,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2356b1c6550fda79,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-23bf6bb2a780b76b,gemma4:12b,3,2,3,0.6666666666666666
case-23bf6bb2a780b76b,llama3.1:8b-instruct-q8_0,3,1,3,0.3333333333333333
case-23bf6bb2a780b76b,ministral-3:14b-instruct-2512-q4_K_M,3,2,3,0.6666666666666666
case-23fa70b0ed7c2301,gemma4:12b,2,1,2,0.5
case-23fa70b0ed7c2301,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-23fa70b0ed7c2301,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-24d698b45628a677,gemma4:12b,3,1,3,0.3333333333333333
case-24d698b45628a677,llama3.1:8b-instruct-q8_0,3,1,3,0.3333333333333333
case-24d698b45628a677,ministral-3:14b-instruct-2512-q4_K_M,3,1,3,0.3333333333333333
case-2564828ccbf3de99,gemma4:12b,1,1,1,1.0
case-2564828ccbf3de99,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2564828ccbf3de99,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-260981628aae3e9a,gemma4:12b,2,2,2,1.0
case-260981628aae3e9a,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-260981628aae3e9a,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-2710e3bfdf0b6ddc,gemma4:12b,1,1,1,1.0
case-2710e3bfdf0b6ddc,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2710e3bfdf0b6ddc,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2710eb84113dc9f6,gemma4:12b,1,1,1,1.0
case-2710eb84113dc9f6,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2710eb84113dc9f6,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-28797a81b6bbfaea,gemma4:12b,1,1,1,1.0
case-28797a81b6bbfaea,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-28797a81b6bbfaea,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-28e71c22a43c272a,gemma4:12b,1,1,1,1.0
case-28e71c22a43c272a,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-28e71c22a43c272a,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-28fef30ead570d0c,gemma4:12b,2,2,2,1.0
case-28fef30ead570d0c,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-28fef30ead570d0c,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-296e6b19ae62c75d,gemma4:12b,1,1,1,1.0
case-296e6b19ae62c75d,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-296e6b19ae62c75d,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2a15768d334f9a8b,gemma4:12b,1,1,1,1.0
case-2a15768d334f9a8b,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2a15768d334f9a8b,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2a2ec5d056dc89c6,gemma4:12b,1,1,1,1.0
case-2a2ec5d056dc89c6,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2a2ec5d056dc89c6,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2ae8ee00828c7c73,gemma4:12b,1,1,1,1.0
case-2ae8ee00828c7c73,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2ae8ee00828c7c73,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2ba3588af77654f4,gemma4:12b,2,2,2,1.0
case-2ba3588af77654f4,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-2ba3588af77654f4,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-2d6a99b75f885593,gemma4:12b,1,1,1,1.0
case-2d6a99b75f885593,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2d6a99b75f885593,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2dd12213b1f6e303,gemma4:12b,1,1,1,1.0
case-2dd12213b1f6e303,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2dd12213b1f6e303,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2df1e5276ea71d45,gemma4:12b,2,2,2,1.0
case-2df1e5276ea71d45,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-2df1e5276ea71d45,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-2eb68ee3f87c940f,gemma4:12b,1,1,1,1.0
case-2eb68ee3f87c940f,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2eb68ee3f87c940f,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2f0037267d7a8d0c,gemma4:12b,1,1,1,1.0
case-2f0037267d7a8d0c,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2f0037267d7a8d0c,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-2fc8f6828101e5ac,gemma4:12b,1,1,1,1.0
case-2fc8f6828101e5ac,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-2fc8f6828101e5ac,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-3088724ee56fe103,gemma4:12b,1,1,1,1.0
case-3088724ee56fe103,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-3088724ee56fe103,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-31571869b5c23de5,gemma4:12b,1,1,1,1.0
case-31571869b5c23de5,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-31571869b5c23de5,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-318f21cce91b1acd,gemma4:12b,1,1,1,1.0
case-318f21cce91b1acd,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-318f21cce91b1acd,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-31f8504807639231,gemma4:12b,1,1,1,1.0
case-31f8504807639231,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-31f8504807639231,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-3209b8c790555b79,gemma4:12b,2,2,2,1.0
case-3209b8c790555b79,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-3209b8c790555b79,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-32861b40bfbc2330,gemma4:12b,1,1,1,1.0
case-32861b40bfbc2330,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-32861b40bfbc2330,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-3354be494f1e6d0b,gemma4:12b,1,1,1,1.0
case-3354be494f1e6d0b,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-3354be494f1e6d0b,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-33e8d5bb1b786bc2,gemma4:12b,1,1,1,1.0
case-33e8d5bb1b786bc2,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-33e8d5bb1b786bc2,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-3455796b1b189701,gemma4:12b,2,2,2,1.0
case-3455796b1b189701,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-3455796b1b189701,ministral-3:14b-instruct-2512-q4_K_M,2,0,2,0.0
case-3484a89e8f2822a0,gemma4:12b,2,2,2,1.0
case-3484a89e8f2822a0,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-3484a89e8f2822a0,ministral-3:14b-instruct-2512-q4_K_M,2,0,2,0.0
case-34e705af854dd2fc,gemma4:12b,1,1,1,1.0
case-34e705af854dd2fc,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-34e705af854dd2fc,ministral-3:14b-instruct-2512-q4_K_M,1,0,1,0.0
case-34e82ce878d9baa4,gemma4:12b,1,1,1,1.0
case-34e82ce878d9baa4,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-34e82ce878d9baa4,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-3502648ffe08495a,gemma4:12b,2,2,2,1.0
case-3502648ffe08495a,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-3502648ffe08495a,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-35247481bc9f87aa,gemma4:12b,2,2,2,1.0
case-35247481bc9f87aa,llama3.1:8b-instruct-q8_0,2,1,2,0.5
case-35247481bc9f87aa,ministral-3:14b-instruct-2512-q4_K_M,2,1,2,0.5
case-36838ab8662342c6,gemma4:12b,2,2,2,1.0
case-36838ab8662342c6,llama3.1:8b-instruct-q8_0,2,2,2,1.0
case-36838ab8662342c6,ministral-3:14b-instruct-2512-q4_K_M,2,2,2,1.0
case-3686a781cc280214,gemma4:12b,1,1,1,1.0
case-3686a781cc280214,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-3686a781cc280214,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-36d5163b8f4be0a1,gemma4:12b,1,1,1,1.0
case-36d5163b8f4be0a1,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-36d5163b8f4be0a1,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-374fb47e8c78321c,gemma4:12b,1,1,1,1.0
case-374fb47e8c78321c,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-374fb47e8c78321c,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-379b8e3aaf19ff9a,gemma4:12b,1,1,1,1.0
case-379b8e3aaf19ff9a,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-379b8e3aaf19ff9a,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-37b04213170d8755,gemma4:12b,1,1,1,1.0
case-37b04213170d8755,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-37b04213170d8755,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-37ca5d93803056f1,gemma4:12b,1,1,1,1.0
case-37ca5d93803056f1,llama3.1:8b-instruct-q8_0,1,1,1,1.0
case-37ca5d93803056f1,ministral-3:14b-instruct-2512-q4_K_M,1,1,1,1.0
case-38d9daf56c8a259d,gemma4:12b,2,1,2,0.5
