rule_id,audit_decision,replacement_rule_ids,audit_note,experimental_results_inspected,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R011,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For chinos in smart-casual menswear, recommend loafers, Derbys or restrained trainers because chinos sit between tailoring and casualwear.",bottoms,shoes,smart_casual_styling,"smart casual, classic, refined","brown, black, white, neutral","smart casual, work, date night","spring, summer, autumn",menswear,tailored,smart casual,"chinos, loafers, derbys, restrained trainers, smart casual shoes",fashion_magazine,Chinos don't suck - you just suck at styling them,British GQ,2025,https://www.gq-magazine.co.uk/article/what-to-wear-with-chinos,medium,"Reputable menswear editorial source, but the article is practical styling advice rather than academic evidence.",The source describes chinos as carrying smart-casual character and discusses shoe choices for that balance.,Best for chino-based smart-casual outfits.,May not apply to strict business-formal dress codes.,verified,Use when query item category is bottoms and text mentions chinos.
R012,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For chinos with trainers, recommend clean leather or suede trainers rather than athletic statement trainers because the pairing works best when the shoe keeps a quiet smart-casual tone.",bottoms,shoes,smart_casual_styling,"smart casual, minimal, relaxed","white, beige, neutral","smart casual, daytime, date night","spring, summer, autumn",menswear,tailored,smart casual,"chinos, clean trainers, leather trainers, suede trainers, quiet luxury",fashion_magazine,How to style chinos and trainers,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-style-chinos-and-trainers,medium,"Reputable menswear editorial source, but rule is style-editorial rather than formal dress-code evidence.","The source says chinos and trainers work when supported by crisp shirts, unstructured blazers and more refined leather or suede trainers.",Best for relaxed smart-casual menswear.,May not apply to formal offices or dress-code events.,verified,Use to separate clean trainers from sport sneakers during reranking.
R013,retained_or_rewritten,K017,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For smart-casual trousers, recommend leather shoes such as loafers, brogues or Derbys because smart-casual guidance links the smarter side of the code to tailoring and leather shoes.",bottoms,shoes,formality_matching,"smart casual, tailored, classic","black, brown, neutral","smart casual, work, dinner",all season,menswear,tailored,smart casual,"trousers, loafers, brogues, derbys, leather shoes, smart casual",fashion_magazine,"A full, BS-free breakdown of how to do smart-casual",British GQ,2023,https://www.gq-magazine.co.uk/article/how-to-dress-smart-casual,high,Reputable menswear publication giving explicit smart-casual category guidance.,"The source identifies smart items as tailoring, trousers, shirts and leather shoes including brogues, Derbys and loafers.",Best for menswear smart-casual shoe matching.,May not apply to fashion-forward sneaker-led smart casual looks.,verified,High-value retrieval rule for smart-casual shoe recommendations.
R014,retained_or_rewritten,K020,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For business-casual bottoms, recommend smart-looking shoes and avoid overly casual footwear because business casual is positioned above casual denim outfits.",bottoms,shoes,workwear_styling,"business casual, polished, classic","black, brown, neutral","work, business casual",all season,menswear,tailored,business casual,"business casual trousers, smart shoes, office shoes, chinos, loafers",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,The source discusses business casual as clean and simple work dressing with smart-looking shoes and often chinos or trousers.,Best for office and business-casual recommendations.,May not apply to workplaces with casual sneaker-friendly policies.,verified,"Retrieve when user request mentions office, work or business casual."
R015,retained_or_rewritten,K018,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a suit or black-tie trousers, recommend black patent or highly polished dress shoes because black-tie menswear guidance treats polished black footwear as standard evening dress.",bottoms,shoes,formal_evening_styling,"formal, polished, classic",black,"formal, evening, black tie",all season,menswear,tailored,formal,"black tie trousers, tuxedo, black patent shoes, dress shoes, eveningwear",fashion_magazine,Black tie dress code explained,British GQ,2024,https://www.gq-magazine.co.uk/article/black-tie-guide,high,Highly reputable menswear editorial source explaining formal dress-code conventions.,The source recommends black patent leather shoes for black-tie dress codes.,Best for formal menswear trouser-to-shoe recommendations.,May not apply to creative black-tie or national dress variants.,verified,Use to rerank formal shoes for tuxedo or dinner-suit contexts.
R016,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a lounge suit or formal suit, recommend conservative dress shoes rather than trainers because etiquette sources separate formal attire from casual dress.",bottoms,shoes,formality_matching,"formal, classic, tailored","black, brown, neutral","formal, work, wedding",all season,menswear,tailored,formal,"lounge suit, formal suit, dress shoes, oxfords, derbys",museum_or_institution,Events and Dress Codes,Debrett's,unknown,https://debretts.com/etiquette-category/events-and-dress-codes/,high,Long-established etiquette authority covering formal and semi-formal dress codes.,The source explains formal dress-code categories such as black tie and lounge suit as distinct from casual attire.,Best for conservative formal dress codes.,May not apply to relaxed modern offices or fashion-editorial styling.,verified,"Use where the user request mentions suit, lounge suit, or formal invitation."
R017,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a neutral dress, recommend a contrasting shoe only when the user wants visual emphasis; otherwise tonal or neutral shoes keep the outfit quieter.",dresses,shoes,colour_coordination,"minimal, polished, classic","neutral, tonal, contrast","work, smart casual, evening",all season,general,not specified,general,"neutral dress, tonal shoes, contrast shoes, colour emphasis",academic_paper,Learning Color Compatibility in Fashion Outfits,"Heming Zhang, Xuewen Yang, Jianchao Tan, Chi-Hao Wu, Jue Wang, C.-C. Jay Kuo",2020,https://arxiv.org/abs/2007.02388,high,Academic paper explicitly modelling colour compatibility as an outfit recommendation signal.,The paper supports colour compatibility as an important factor in outfit compatibility prediction.,Best for colour-aware shoe selection.,Does not replace dress-code constraints such as black tie or workplace policy.,verified,Use colour tags to decide whether contrast or tonal shoes should rank higher.
R018,retained_or_rewritten,K019,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For outfits with one bold-colour garment, recommend shoes in neutral colours when the goal is a conservative outfit because neutral footwear reduces additional colour competition.",tops,shoes,colour_coordination,"minimal, classic, polished","neutral, black, white, beige, grey","work, smart casual, daytime",all season,general,balanced silhouette,general,"bold top, neutral shoes, colour balance, conservative palette",reputable_blog,How to Match Clothes Using the Color Wheel,MasterClass,2021,https://www.masterclass.com/articles/how-to-match-clothes-using-the-color-wheel,medium,Recognised educational publisher; useful for general colour-wheel concepts but not peer-reviewed fashion evidence.,The source explains using colour-wheel schemes and neutrals to simplify clothing colour matching.,Best for conservative colour balancing.,May not apply when the user explicitly requests colour blocking or maximalism.,verified,Retrieve for colour-heavy user requests.
R019,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For monochrome outfits, recommend shoes in the same colour family or a deliberate contrast colour because tonal styling relies on controlled variation inside one palette.",bottoms,shoes,colour_coordination,"minimal, polished, tonal","monochrome, tonal, contrast","work, evening, smart casual",all season,general,balanced silhouette,general,"monochrome outfit, tonal shoes, same colour family, contrast accent",fashion_editorial,How To Wear The Street Style Trend for Tonal Colours,British Vogue,2018,https://www.vogue.co.uk/gallery/how-to-wear-tonal-colours,medium,"Reputable editorial styling gallery, but advice is trend-oriented and less formal than academic evidence.",The source describes tonal dressing as selecting variations of a hue and mixing them together.,Best for monochrome or tonal outfit construction.,May not apply to outfits built around print mixing.,verified,Use for colour-aware reranking and explanation citations.
R020,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For dressy date-night outfits, recommend shoes that maintain the outfit's elevated tone, such as polished sandals, mules or refined boots.",dresses,shoes,occasion_matching,"elegant, polished, refined","black, metallic, neutral","date night, evening",all season,womenswear,not specified,evening,"date night dress, polished sandals, mules, refined boots, elevated outfit",retailer_style_guide,"Your Guide To Elegant Date-Night Style, By 5 Fashion Insiders",NET-A-PORTER / PORTER,2026,https://www.net-a-porter.com/en-gb/porter/article-f6421bef33aadc15/fashion/art-of-style/%252Fporter%252Farticle-f6421bef33aadc15,medium,"Established luxury retailer/editorial source with named fashion-insider guidance, but commercial context.",The source positions date-night styling around elegant outfits and complementary accessories rather than casual basics.,Best for date-night dress-to-shoe recommendations.,May not apply to casual daytime dates or walking-heavy plans.,verified,Retrieve for date night and evening contexts.
R021,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a skirt or dressy bottom in evening styling, recommend patent, metallic or satin-finish shoes only when the rest of the outfit is also elevated.",bottoms,shoes,texture_material_matching,"elegant, polished, refined","black, metallic","evening, party, formal",all season,womenswear,not specified,evening,"evening skirt, patent shoes, metallic shoes, satin, texture matching",fashion_magazine,A Definitive Guide To Cocktail Attire,British Vogue,2025,https://www.vogue.co.uk/article/cocktail-attire-dress-code-guide,high,Highly reputable fashion editorial source on semi-formal cocktail dressing and dress-code caution.,"The source links cocktail dressing with elevated fabrics such as satin, chiffon and taffeta and a dressier occasion level.",Best for evening skirts and dressy separates.,May not apply to daytime skirts or casual fabrics like jersey.,verified,Useful for material-aware explanation generation.
R022,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For straight or relaxed jeans, recommend loafers when the desired result is smart casual because loafers can bridge denim and more polished styling.",bottoms,shoes,smart_casual_styling,"smart casual, polished, classic","black, brown, neutral","smart casual, daytime, work",all season,menswear,balanced silhouette,smart casual,"straight jeans, relaxed jeans, loafers, denim, polished casual",fashion_magazine,How to wear loafers and look like a grownup,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-wear-loafers,medium,"Reputable menswear editorial source, but loafer styling guidance is contextual and partly trend-sensitive.",The source says chunkier loafers work with denim and that loafer shape affects whether the shoe reads formal or casual.,Best for smart-casual denim looks.,May not apply to very distressed or oversized denim.,verified,Use with item text containing jeans and user request mentioning polish.
R023,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For casual daytime jeans, recommend clean sneakers or low boots when the request is relaxed rather than formal.",bottoms,shoes,casual_daytime_styling,"casual, relaxed, classic","white, brown, black, neutral","casual, daytime, travel",all season,general,relaxed fit,casual,"casual jeans, clean sneakers, low boots, daytime, relaxed shoes",academic_paper,Learning Type-Aware Embeddings for Fashion Compatibility,Marianna D. Vasileva et al.,2018,https://arxiv.org/abs/1803.09196,high,Academic paper focused on type-aware compatibility between apparel categories in outfit recommendation.,"The paper supports modelling compatible items across different apparel types, which fits cross-category denim-to-shoe retrieval.",Best for casual item-completion where the target is shoes.,"The paper supports compatibility modelling generally, not this exact footwear rule.",verified,Good for academic backing of cross-category recommendation.
R024,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For a top-and-bottom outfit with a clear style theme, recommend shoes from the same style family because style-conditioned outfit generation treats style as a compatibility constraint.",tops,shoes,style_consistency,"classic, streetwear, formal, casual","neutral, black, white","casual, work, evening",all season,general,not specified,general,"style consistency, shoes, outfit theme, cross category compatibility",academic_paper,Recommendation of Compatible Outfits Conditioned on Style,Debopriyo Banerjee et al.,2022,https://arxiv.org/abs/2203.16161,high,Academic recommender-system paper treating style conditioning as an explicit factor in outfit generation.,The source argues that outfit generation can be conditioned on high-level styles or themes.,Best for style-tag consistency during shoe reranking.,Does not specify exact shoe type; combine with occasion and formality evidence.,verified,Use to justify style-family matching in reranking.
R025,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For an outfit retrieved as a complete look, recommend shoes from a different category but compatible with the existing items because complete-the-look systems model complementary rather than substitute items.",accessories,shoes,shoe_pairing,"general, coordinated","neutral, complementary","casual, work, evening",all season,general,not specified,general,"complete the look, shoes, complementary item, outfit compatibility",academic_paper,Bootstrapping Complete the Look at Pinterest,Pinterest Research,2020,https://arxiv.org/abs/2006.10792,high,Industry-scale academic paper on complementary fashion item recommendation and complete-the-look tasks.,The source studies complementary item recommendation for completing outfits such as finding shoes for an existing look.,Best as a general academic rule for shoe completion.,Requires item-level retrieval to choose the exact shoe type.,verified,Use as a high-level RAG rule when evidence retrieval lacks more specific styling rows.
R026,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For formal menswear trousers, recommend black Oxfords or similarly conservative dress shoes when the event is a traditional wedding or formal daytime code.",bottoms,shoes,occasion_matching,"formal, classic, tailored",black,"wedding, formal, work",all season,menswear,tailored,formal,"formal trousers, oxfords, conservative dress shoes, wedding attire",museum_or_institution,Attire Guide: Dress Codes from Casual to White Tie,Emily Post Institute,unknown,https://emilypost.com/advice/attire-guide-dress-codes-from-casual-to-white-tie,high,Authoritative etiquette institution with stable dress-code guidance.,The attire guide separates formal dress codes from casual and provides conventional dress-code categories.,Best for conservative event-based menswear recommendations.,May not apply to contemporary fashion-led weddings with relaxed dress codes.,verified,Use when user mentions formal invitation or traditional event.
R027,outside_taxonomy,K029,Removed because the input category is not one of the five frozen categories.,false,"For a black-tie dress, recommend a small evening bag, refined jewellery or formal accessories because black-tie outfits are treated as a complete evening capsule.",dresses,accessories,formal_evening_styling,"formal, elegant, polished","black, metallic, neutral","formal, evening, black tie",all season,womenswear,not specified,evening,"black tie dress, evening bag, clutch, refined jewellery, formal accessories",fashion_magazine,The Vogue Guide To A Black-Tie Dress Code,British Vogue,2025,https://www.vogue.co.uk/article/black-tie-dress-code,high,Highly reputable fashion editorial source explaining formal evening dress-code conventions.,"The source frames black-tie dressing as a repeatable capsule of gowns, tuxedos and accessories.",Best for formal dress-to-accessory recommendations.,May not apply to minimalist users who request no jewellery.,verified,Use to justify clutch and jewellery recommendations in formal explanations.
R028,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a cocktail dress, recommend accessories that dress the look up without overpowering it because cocktail attire permits polish but is less rigid than black tie.",dresses,accessories,accessory_coordination,"semi formal, polished, elegant","metallic, black, neutral","cocktail, evening, party",all season,womenswear,not specified,evening,"cocktail dress, clutch, jewellery, semi formal accessories, balanced accessories",fashion_magazine,A Definitive Guide To Cocktail Attire,British Vogue,2025,https://www.vogue.co.uk/article/cocktail-attire-dress-code-guide,high,Highly reputable fashion editorial source on semi-formal cocktail dressing and dress-code caution.,The source describes cocktail attire as semi-formal and advises dressing up while using the dress code as guidance.,Best for cocktail and party dress accessories.,May not apply to ultra-minimal or deliberately maximal outfits.,verified,Use accessory tags to avoid unsupported overstatement.
R029,outside_taxonomy,K021|K030,Removed because the input category is not one of the five frozen categories.,false,"For a wedding guest dress, recommend accessories that respect the dress code and avoid competing with the occasion, such as metallic jewellery or a refined bag.",dresses,accessories,occasion_matching,"elegant, polished, feminine","metallic, neutral","wedding, formal, daytime, evening","spring, summer, autumn",womenswear,not specified,smart casual,"wedding guest dress, metallic jewellery, refined bag, dress code",fashion_magazine,What To Wear To A Wedding,British Vogue,2019,https://www.vogue.co.uk/article/what-to-wear-to-a-wedding,high,Highly reputable fashion editorial source on occasion-appropriate wedding guest styling.,The source advises wedding guests to stay aligned with the occasion and suggests metallic jewellery as a way to sharpen florals.,Best for wedding guest accessory suggestions.,May not apply where cultural dress rules specify different accessories.,verified,Use for wedding or guest-dress queries.
R030,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a simple dress, recommend one focal accessory such as a necklace, belt or bag because a dress can be styled by selecting accessories that mix and match around the garment.",dresses,accessories,accessory_coordination,"minimal, polished, classic","neutral, metallic, contrast","casual, work, evening",all season,womenswear,not specified,general,"simple dress, necklace, belt, handbag, focal accessory",retailer_style_guide,How to Accessorize Dresses,Stitch Fix,2022,https://www.stitchfix.com/women/blog/fashion-tips/how-to-accessorize-dresses/,medium,"Established styling service guide focused on accessories, but commercial retailer context.","The source explicitly says to choose necklaces, shoes or bags to mix and match after selecting a dress.",Best for simple dress accessorising.,May not apply to dresses that are already heavily embellished.,verified,Retrieve when item text suggests simple or plain dresses.
R031,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a resort or summer dress, recommend lightweight accessories such as a woven bag or minimal jewellery because warm-weather dress styling is usually kept simple.",dresses,accessories,seasonal_layering,"casual, relaxed, minimal","beige, brown, neutral, earth tones","summer, travel, casual",summer,womenswear,not specified,casual,"resort dress, woven bag, minimal jewellery, summer accessories",retailer_style_guide,How to Accessorize Dresses,Stitch Fix,2022,https://www.stitchfix.com/women/blog/fashion-tips/how-to-accessorize-dresses/,medium,"Established styling service guide focused on accessories, but commercial retailer context.",The source describes resort wear accessorising and states that keeping it simple is key.,Best for summer resort dress recommendations.,May not apply to formal summer events.,verified,Use season_tags to retrieve this for summer styling.
R032,outside_taxonomy,K031,Removed because the input category is not one of the five frozen categories.,false,"For date-night outfits with minimal clothing, recommend statement jewellery, a handbag or a scarf as a controlled accent because accessories can complete a simple evening look.",dresses,accessories,occasion_matching,"elegant, polished, refined","black, metallic, contrast","date night, evening",all season,womenswear,not specified,evening,"date night, statement jewellery, handbag, scarf, minimal outfit",retailer_style_guide,"Your Guide To Elegant Date-Night Style, By 5 Fashion Insiders",NET-A-PORTER / PORTER,2026,https://www.net-a-porter.com/en-gb/porter/article-f6421bef33aadc15/fashion/art-of-style/%252Fporter%252Farticle-f6421bef33aadc15,medium,"Established luxury retailer/editorial source with named fashion-insider guidance, but commercial context.","The source advises complementing a minimal outfit with statement jewellery, a handbag or a small scarf.",Best for simple date-night outfits.,May not apply to already ornate dresses or casual day dates.,verified,Useful for user requests mentioning date night.
R033,outside_taxonomy,K032,Removed because the input category is not one of the five frozen categories.,false,"For festive or evening outfits, recommend a coloured shoe-and-bag accent only when the clothing base is simple enough to support the colour contrast.",dresses,accessories,colour_coordination,"elegant, playful, polished","bold colour, contrast, black, neutral","party, evening, festive","winter, all season",womenswear,not specified,evening,"festive outfit, colour pop, shoes and bags, simple base",retailer_style_guide,Personal Shopper Ella Shares Her Must-Haves,NET-A-PORTER / PORTER,2022,https://www.net-a-porter.com/en-gb/porter/article-bfe6ce452df5c6e5/fashion/art-of-style/net-a-porter-personal-shopper,medium,"Established luxury retailer/editorial source with personal-shopper styling advice, but commercial context.",The source notes that festive accessories often default to black but can use a pop of colour with shoes and bags.,Best for party or festive accessory coordination.,May not apply to strict black-tie or conservative work events.,verified,Use colour tags for controlled contrast recommendations.
R034,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For a formal suit or tuxedo, recommend restrained accessories such as a bow tie, cufflinks or pocket square because traditional black-tie guidance discourages novelty accessories.",bottoms,accessories,formal_evening_styling,"formal, classic, polished","black, white, metallic","formal, evening, black tie",all season,menswear,tailored,formal,"tuxedo, bow tie, cufflinks, pocket square, black tie accessories",fashion_editorial,What To Wear To A Black Tie Event,MR PORTER,2016,https://www.mrporter.com/en-fr/journal/fashion/what-to-wear-to-a-black-tie-event-669124,medium,"Established menswear editorial source, but retail/editorial rather than academic evidence.",The source frames black tie as strict formalwear and rejects novelty accessory twists for a standard black-tie code.,Best for conservative black-tie menswear.,May not apply to creative black tie or themed events.,verified,"Retrieve for tuxedo, dinner jacket and black-tie accessory recommendations."
