rule_id,rule_version,rule_text,input_category,recommended_category,applicable_query_categories,required_context,query_terms,candidate_terms,scenario_label,gender_context,formality_level,occasion_tags,season_tags,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_locator,source_access_date,source_validation_status,source_reliability,evidence_summary,rule_scope,rule_limitations,audit_status,supersedes_rule_ids
K048,1,"For an explicit white button-down in a fluid neutral outfit, cuffed wide-leg trousers are a directly documented bottom pairing.",tops,bottoms,tops,none,"white button down|white button-down|white shirt & fluid|loose|relaxed",none,neutral_tailoring,womenswear,smart casual,"office|daytime",all,fashion_editorial,"Wide-Leg Trousers Are a Vogue Office Favorite",Vogue,2026,https://www.vogue.com/article/how-to-style-wide-leg-trousers,"The Cuffed Pair section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly pairs a loose white button-down with cuffed grey wide-leg trousers.","Loose white shirting to cuffed wide-leg trousers.","Requires fluid or relaxed styling context; not a general white-shirt rule.",retain,
K049,1,"For an explicit T-shirt being smartened within a preppy request, pleated trousers are a directly supported bottom direction.",tops,bottoms,tops,none,"t-shirt|t shirt|tee & preppy|ivy|smarten",none,preppy_mix,menswear,smart casual,"daytime|office",all,fashion_editorial,"The GQ Guide to Preppy Style",GQ,2025,https://www.gq.com/story/preppy-style-guide,"Tweedy Blazers section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The guide explicitly recommends using a blazer to smarten a T-shirt tucked into pleated pants.","Preppy T-shirts to pleated trousers.","Requires preppy or smartening intent; not evidence for every T-shirt outfit.",retain,
K050,1,"For an explicit blazer in a relaxed spring outfit, baggy or loose tailored trousers are a directly documented bottom category.",outerwear,bottoms,outerwear,none,"blazer|sport coat|sportcoat & relaxed|baggy|loose",none,relaxed_tailoring,general,smart casual,daytime,spring,fashion_editorial,"Baggy Trousers And A Blazer Is Spring's Easiest Outfit Formula","British Vogue",2026,https://www.vogue.co.uk/article/baggy-trousers-blazer-spring-outfit,"opening paragraphs and coordinated-look formulas",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article directly identifies baggy trousers and blazers as a recurring outfit formula.","Relaxed blazers to loose trousers.","Seasonal editorial direction; does not require exaggerated pooling or a particular colour.",retain,
K051,1,"For an explicit leather blazer in a dressed-up denim request, wide-leg jeans are a directly documented bottom direction.",outerwear,bottoms,outerwear,none,"leather blazer & dress up|dressed up|polished denim|smart denim",none,denim_tailoring,womenswear,smart casual,"daytime|evening",all,fashion_editorial,"Baggy Jeans Are Still Trending: 7 Ways to Style the Model Off-Duty Staple",Vogue,2026,https://www.vogue.com/article/baggy-jean-outfits,"With a Leather Blazer and Cowboy Boots section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The outfit formula explicitly combines a leather blazer and button-down with extra-wide jeans.","Leather blazers to wide-leg denim.","Requires a denim-oriented request; does not support leather blazers with every bottom.",retain,
K052,1,"For explicit loafers in a relaxed tailored request, loose or baggy trousers are a directly documented bottom direction.",shoes,bottoms,shoes,none,"loafer|loafers & relaxed tailoring|relaxed tailored|baggy trouser|loose trouser",none,relaxed_tailoring,general,smart casual,daytime,spring,fashion_editorial,"Baggy Trousers And A Blazer Is Spring's Easiest Outfit Formula","British Vogue",2026,https://www.vogue.co.uk/article/baggy-trousers-blazer-spring-outfit,"opening description and utility-inspired outfit",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article describes loose trousers breaking over loafers and provides a tailored-trouser loafer formula.","Loafers to relaxed tailored trousers.","Requires relaxed-tailoring context; not a general loafer-to-bottom rule.",retain,
K053,1,"For explicit chunky brogues in a casual polished request, barrel-leg jeans are a documented bottom direction.",shoes,bottoms,shoes,none,"chunky brogue|chunky brogues & casual polish|casual polished|barrel jean",none,denim_brogue,womenswear,smart casual,daytime,all,fashion_editorial,"Baggy Jeans Are Still Trending: 7 Ways to Style the Model Off-Duty Staple",Vogue,2026,https://www.vogue.com/article/baggy-jean-outfits,"barrel-leg jean formula with chunky brogues",2026-08-16,verified_reachable_and_direct_2026-08-16,medium,"The editorial outfit formula pairs barrel-leg jeans with a collarless blazer and chunky brogues.","Chunky brogues to barrel-leg jeans.","Observed formula; requires casual-polished or barrel-denim context.",retain,
K054,1,"For an explicit formal clutch or elegant top-handle bag, polished stilettos, kitten heels or polished flats are supported shoe categories.",bags,shoes,bags,none,"formal clutch|evening clutch|minaudiere|elegant top handle|elegant top-handle",none,formal_accessories,womenswear,formal,"formal event|gala|black tie|black-tie",all,fashion_editorial,"The Vogue Guide to Formal Attire",Vogue,2025,https://www.vogue.com/article/the-vogue-guide-to-formal-attire,"Formal attire shoes and accessories for women section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The guide discusses clutches and elegant top-handle bags alongside stilettos, kitten heels and polished flats for formal attire.","Formal bags to polished formal shoes.","Supports category and polish rather than matching bag and shoe colours.",retain,
K055,1,"For an explicit work bag in a summer commuting request, a walkable sandal or stylish sneaker is a directly supported shoe direction.",bags,shoes,bags,none,"work bag|office tote|work tote & summer|commute|commuting",none,summer_workwear,womenswear,business casual,"office|work",summer,fashion_editorial,"The Summer Work Bags Vogue Editors Use Everyday",Vogue,2025,https://www.vogue.com/article/editors-summer-work-bags,"opening paragraph naming workwear shoes trousers and bags",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly identifies a walkable sandal or stylish sneaker as a summer-workwear staple alongside the work bag.","Summer work bags to practical polished shoes.","Requires summer or commuting context; does not endorse athletic performance footwear.",retain,
K056,1,"For explicit baggy trousers in relaxed tailoring, trainers or loafers are directly documented shoe directions.",bottoms,shoes,bottoms,none,"baggy trouser|loose trouser|relaxed trouser",none,relaxed_tailoring,general,smart casual,daytime,spring,fashion_editorial,"Baggy Trousers And A Blazer Is Spring's Easiest Outfit Formula","British Vogue",2026,https://www.vogue.co.uk/article/baggy-trousers-blazer-spring-outfit,"opening description of trousers breaking over trainers and loafers",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly describes loose trousers worn over trainers and loafers.","Loose trousers to trainers or loafers.","Does not select between the two without additional formality context.",retain,
K057,1,"For explicit relaxed khaki wide-leg trousers in a preppy request, loafers are a directly documented shoe pairing.",bottoms,shoes,bottoms,none,"khaki trouser|khaki pant & wide leg|wide-leg|pleated",none,preppy_trouser,womenswear,smart casual,"daytime|office",all,fashion_editorial,"Wide-Leg Trousers Are a Vogue Office Favorite",Vogue,2026,https://www.vogue.com/article/how-to-style-wide-leg-trousers,"The Relaxed Khaki section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The relaxed-khaki formula explicitly combines wide pleated trousers with loafers, a blue button-up and an anorak.","Wide khaki trousers to loafers.","A preppy editorial formula; not support for all khaki bottoms.",retain,
K058,1,"For an explicit straight-leg jean and simple crewneck T-shirt outfit being polished, pointed kitten heels are a documented shoe direction.",tops,shoes,tops,none,"crewneck t-shirt|crewneck t shirt|crewneck tee & straight leg jean|straight-leg jean",none,off_duty_polish,womenswear,smart casual,daytime,summer,fashion_editorial,"How To Do Chic Summer Denim According To Alexa","British Vogue",2023,https://www.vogue.co.uk/article/alexa-chung-chic-summer-denim,"paragraph detailing jeans T-shirt blazer bag and kitten heels",2026-08-16,verified_reachable_and_direct_2026-08-16,medium,"The documented outfit combines a crewneck T-shirt and straight-leg jeans with pointed kitten heels.","Simple tee and straight denim to kitten heels.","Observed celebrity outfit; requires both top and denim context.",retain,
K059,1,"For an explicit monochrome trouser suit with a simple tank, black sandals are a directly documented shoe direction.",tops,shoes,tops,none,"white tank|simple tank & trouser suit|pantsuit|monochrome suit",none,monochrome_tailoring,womenswear,smart casual,"office|dinner",all,fashion_editorial,"How To Style A Suit In 2024 According To The Street-Style Set","British Vogue",2024,https://www.vogue.co.uk/article/how-to-style-a-suit,"Monochrome section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The monochrome formula explicitly combines a white tank and loose trouser suit with black sandals.","Tank-and-suit outfits to black sandals.","Specific monochrome formula; not a general rule for tank tops.",retain,
K060,1,"For an explicit blazer-and-dark-jeans neo-prep request, penny loafers are a directly documented shoe direction.",outerwear,shoes,outerwear,none,"blazer|sport coat|sportcoat & dark jean|dark denim|neo prep|neo-prep",none,neo_prep,menswear,smart casual,"daytime|office",all,fashion_editorial,"How to Pull Off a Blazer With Jeans in 2026",GQ,2026,https://www.gq.com/story/how-to-pull-off-a-blazer-and-jeans,"The Neo-Prep Look section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The neo-prep formula explicitly combines a checked blazer, dark straight jeans and penny loafers.","Blazer-and-dark-denim outfits to penny loafers.","Requires denim or neo-prep context; not a universal blazer shoe rule.",retain,
K061,1,"For an explicit leather bomber and statement-trouser outfit, a metallic kitten heel is a directly documented shoe direction.",outerwear,shoes,outerwear,none,"leather bomber & statement trouser|checked trouser|check trouser",none,statement_balance,womenswear,smart casual,daytime,autumn,fashion_editorial,"How Vogue's Shopping Editor Is Styling Trousers For Autumn","British Vogue",2024,https://www.vogue.co.uk/article/how-to-style-trousers-for-autumn,"Leather bomber jacket + statement trousers + kitten heels section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The editor explicitly finishes the leather-bomber and statement-trouser outfit with a metallic kitten heel.","Leather-bomber statement-trouser outfits to kitten heels.","All stated components must be observable; no inference to other bomber outfits.",retain,
K062,1,"For an explicit embellished statement bag in a head-to-toe black tailored request, a black tailored blazer is a documented outerwear direction.",bags,outerwear,bags,none,"embellished bag|floral bag|statement top handle|statement top-handle & all black|head to toe black|head-to-toe black",none,black_statement,womenswear,formal,"office|evening",all,fashion_editorial,"How to Wear Head-to-Toe Black? Jessica Chastain Proves It's All About the Statement Bag",Vogue,2017,https://www.vogue.com/article/jessica-chastain-louis-vuitton-capucines-bag-celebrity-street-style,"paragraphs describing the all-black pantsuit and embellished top-handle bag",2026-08-16,verified_reachable_and_direct_2026-08-16,medium,"The documented look combines an embellished top-handle bag with a head-to-toe black pantsuit.","Statement bags to black tailored outerwear.","Observed celebrity outfit; requires explicit all-black tailoring context.",retain,
K063,1,"For an explicit denim handbag in a polished denim request, a structured blazer is a documented outerwear direction.",bags,outerwear,bags,none,"denim bag|jean bag & polished denim|double denim|denim outfit",none,denim_coordination,womenswear,smart casual,daytime,all,fashion_editorial,"As a Denimhead I'm All In on Jean Bags",Vogue,2024,https://www.vogue.com/article/denim-bags-fall-2024-trend,"celebrity styling paragraph describing a denim bag with structured blazer and jeans",2026-08-16,verified_reachable_and_direct_2026-08-16,medium,"The article explicitly documents a denim Chanel bag paired with a structured blazer and jeans.","Denim bags to structured blazers in denim outfits.","Observed celebrity formula; does not claim denim-on-denim is required.",retain,
K064,1,"For explicit penny loafers with dark straight jeans in a neo-prep request, a checked or simple blue blazer is a directly documented outerwear direction.",shoes,outerwear,shoes,none,"penny loafer|penny loafers & dark jean|dark denim|neo prep|neo-prep",none,neo_prep,menswear,smart casual,"daytime|office",all,fashion_editorial,"How to Pull Off a Blazer With Jeans in 2026",GQ,2026,https://www.gq.com/story/how-to-pull-off-a-blazer-and-jeans,"Neo-Prep and New-Wave Classic sections",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The guide explicitly combines penny loafers and dark jeans with checked tailoring and recommends a simple blue blazer for the related formula.","Penny-loafer dark-denim looks to blazers.","Requires denim or neo-prep context; not a rule for formal loafer outfits.",retain,
K065,1,"For explicit pointy cowboy boots with extra-wide jeans, a leather blazer is a directly documented outerwear direction.",shoes,outerwear,shoes,none,"cowboy boot|cowgirl boot|western boot & wide leg jean|wide-leg jean|extra wide jean",none,western_tailoring,womenswear,smart casual,daytime,all,fashion_editorial,"Baggy Jeans Are Still Trending: 7 Ways to Style the Model Off-Duty Staple",Vogue,2026,https://www.vogue.com/article/baggy-jean-outfits,"With a Leather Blazer and Cowboy Boots section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The outfit formula explicitly combines pointy cowboy boots, extra-wide jeans and a leather blazer.","Western boots and wide denim to leather blazers.","Requires the wide-denim context; not a general cowboy-boot rule.",retain,
K066,1,"For explicit baggy or loose tailored trousers, a blazer is a directly documented outerwear direction.",bottoms,outerwear,bottoms,none,"baggy trouser|loose trouser|relaxed tailored trouser",none,relaxed_tailoring,general,smart casual,daytime,spring,fashion_editorial,"Baggy Trousers And A Blazer Is Spring's Easiest Outfit Formula","British Vogue",2026,https://www.vogue.co.uk/article/baggy-trousers-blazer-spring-outfit,"opening paragraphs identifying the repeated outfit formula",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article directly identifies baggy trousers and blazers as a standout recurring formula.","Loose tailored trousers to blazers.","Does not determine blazer colour, material or degree of structure.",retain,
K067,1,"For explicit relaxed khaki wide-leg trousers in a preppy daytime request, an anorak is a directly documented outerwear option.",bottoms,outerwear,bottoms,none,"khaki trouser|khaki pant & wide leg|wide-leg|pleated",none,preppy_utility,womenswear,smart casual,daytime,all,fashion_editorial,"Wide-Leg Trousers Are a Vogue Office Favorite",Vogue,2026,https://www.vogue.com/article/how-to-style-wide-leg-trousers,"The Relaxed Khaki section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The relaxed-khaki formula explicitly pairs wide pleated trousers with a blue button-up and an anorak.","Wide khaki trousers to anoraks.","One preppy editorial formula; does not apply to formal tailored trousers.",retain,
K068,1,"For an explicit T-shirt tucked into pleated trousers in a preppy request, an unstructured tweed or corduroy blazer is a directly supported outerwear direction.",tops,outerwear,tops,none,"t-shirt|t shirt|tee & pleated trouser|pleated pant & preppy|ivy",none,preppy_mix,menswear,smart casual,"daytime|office",all,fashion_editorial,"The GQ Guide to Preppy Style",GQ,2025,https://www.gq.com/story/preppy-style-guide,"Tweedy Blazers section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The guide directly recommends an unstructured blazer to smarten a T-shirt tucked into pleated pants.","Preppy tee-and-pleated-trouser outfits to textured blazers.","Requires both pleated-trouser and preppy context.",retain,
K069,1,"For an explicit button-down with extra-wide jeans in a polished request, a leather blazer is a directly documented outerwear direction.",tops,outerwear,tops,none,"button down|button-down|button up|button-up & wide leg jean|wide-leg jean|extra wide jean",none,denim_tailoring,womenswear,smart casual,"daytime|evening",all,fashion_editorial,"Baggy Jeans Are Still Trending: 7 Ways to Style the Model Off-Duty Staple",Vogue,2026,https://www.vogue.com/article/baggy-jean-outfits,"With a Leather Blazer and Cowboy Boots section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The outfit formula explicitly combines a slim button-down and extra-wide jeans with a leather blazer.","Button-down and wide-denim outfits to leather blazers.","Requires the wide-denim context; not a general button-down layering rule.",retain,
K070,1,"For an explicit summer outfit combining a button-up or tank with silk drawstring trousers, an understated structured handbag is a directly documented bag direction.",tops,bags,"tops|bottoms|outerwear|shoes",none,"button up|button-up|tank top|simple tank & silk trouser|drawstring trouser|summer outfit",none,summer_minimal,womenswear,casual,daytime,summer,fashion_editorial,"10 Chic Ways to Style Summer's Hero Handbags",Vogue,2023,https://www.vogue.com/article/summer-handbag-outfits,"opening styling paragraph",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly pairs understated handbags with a button-up, tank and silk drawstring pants.","Minimal summer separates to understated handbags.","Requires the stated summer separates; does not select a colour or exact bag shape.",retain,
K071,1,"For explicit baggy jeans with an oversized bomber, an XL slouchy bag is a directly documented bag direction.",bottoms,bags,"tops|bottoms|outerwear|shoes",none,"baggy jean|wide leg jean|wide-leg jean & oversized bomber|big bomber",none,oversized_denim,womenswear,casual,daytime,all,fashion_editorial,"The New Baggy Jeans Dominating The Street-Style Circuit","British Vogue",2026,https://www.vogue.co.uk/article/baggy-jeans-trends-outfits,"Oversized accessorised section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly pairs baggy jeans and a big bomber with an XL slouchy bag.","Baggy-denim oversized-bomber outfits to slouchy bags.","This formula intentionally uses multiple oversized pieces and should not override general volume-restraint rules in other contexts.",retain,
K072,1,"For an explicit polished outfit of grey suit trousers, a soft knit and pointed boots, a structured City-style bag is a documented finishing direction.",outerwear,bags,"tops|bottoms|outerwear|shoes",none,"grey suit trouser|gray suit trouser & soft knit|crewneck knit & pointed boot",none,workwear_capsule,womenswear,business casual,"office|work",autumn,fashion_editorial,"The Fall-Perfect Street Style Vogue Editors Brought to New York Fashion Week",Vogue,2025,https://www.vogue.com/article/nyfw-editors-street-style-looks-ss26,"Virginia Smith section",2026-08-16,verified_reachable_and_direct_2026-08-16,medium,"The documented editor outfit combines grey suit trousers, a soft knit, pointed boots and a City bag.","Specific polished capsule outfit to a structured city bag.","All three clothing conditions must be observable; no inference to unrelated workwear.",retain,
K073,1,"For explicit polished women's formal footwear in a formal-attire request, a clutch or equally elegant small top-handle bag is a directly supported bag category.",shoes,bags,"tops|bottoms|outerwear|shoes",none,"stiletto|kitten heel|polished flat|formal shoe & formal attire|formal event|gala",none,formal_accessories,womenswear,formal,"formal event|gala",all,fashion_editorial,"The Vogue Guide to Formal Attire",Vogue,2025,https://www.vogue.com/article/the-vogue-guide-to-formal-attire,"Formal attire shoes and accessories for women section",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The guide discusses polished formal footwear alongside clutches and elegant small top-handle bags.","Women's formal shoes to small formal bags.","Does not require shoes and bag to match in colour or material.",retain,
K074,1,"For an explicit white summer day dress, a hand-crocheted or woven tote is a directly documented bag direction.",tops,bags,"tops|bottoms|outerwear|shoes",none,"white day dress|white summer dress|white shirtdress & summer",none,summer_day,womenswear,casual,daytime,summer,fashion_editorial,"10 Chic Ways to Style Summer's Hero Handbags",Vogue,2023,https://www.vogue.com/article/summer-handbag-outfits,"paragraph on the hand-crocheted tote and white day dress",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly recommends a hand-crocheted tote with a white day dress.","White summer day dresses to crochet or woven totes.","Seasonal womenswear formula; not evidence for formal white dresses.",retain,
K075,1,"For an explicit striped sweater and denim midi-skirt summer outfit, a woven tote is a directly documented bag direction.",bottoms,bags,"tops|bottoms|outerwear|shoes",none,"denim midi skirt|denim midiskirt & striped sweater|stripe sweater & summer",none,summer_denim,womenswear,casual,daytime,summer,fashion_editorial,"10 Chic Ways to Style Summer's Hero Handbags",Vogue,2023,https://www.vogue.com/article/summer-handbag-outfits,"paragraph pairing woven totes with a striped sweater and denim midi-skirt",2026-08-16,verified_reachable_and_direct_2026-08-16,high,"The article explicitly pairs woven totes with a striped sweater and denim midi-skirt.","Striped-knit denim-skirt summer outfits to woven totes.","All stated clothing and seasonal context must be observable.",retain,
